UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Guillermo Lasso,@LassoGuillermo,2021-05-29T21:35:01.000Z,"¡Felicidades 
@MorejonGlenda
! Ella y más deportistas ecuatorianos siguen dejando su huella en el mundo con su talento inigualable.

Desde 
@DeporteEc
, estamos comprometidos con apoyar cada paso de sus carreras deportivas. 

#GobiernoDelEncuentro
#JuntosLoLogramosCitar Tweet
Ministerio del Deporte Ecuador
@DeporteEc
 · 9h
¡ORO PARA ECUADOR!

@MorejonGlenda consigue el primer lugar en los 20.000 m marcha en el campeonato Sudamericano de Atletismo que se disfruta en Guayaquil.

#JuntosLoLogramos 
#GobiernoDelEncuentro ",24,153,762
Guillermo Lasso,@LassoGuillermo,2021-05-28T23:57:43.000Z,"¡Una buena noticia!
@EmbajadaChinaEc
 me informó que hasta el 29 de mayo nos llegarían 700.000 dosis de vacunas. 500.000 adquiridas por Ecuador y 200.000 donadas por China, como motivo de nuestra investidura. 

#GobiernoDelEncuentro
#JuntosLoLogramos",628,"1,6 mil","10,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-28T22:23:22.000Z,"¡Primera visita a Guayas! Nos reunimos en la Gobernación con 
@VicenteTaianoA
, donde establecimos las siguientes prioridades:

Trabajo articulado para el desarrollo provincial
 Seguridad ciudadana 
 Atender todas las necesidades de los guayasenses 

#GobiernoDelEncuentro",134,398,2 mil
Guillermo Lasso,@LassoGuillermo,2021-05-26T16:59:31.000Z,"Los invito a acompañarnos en este emotivo evento en Tamboloma, Ambato. Realizaremos una transmisión en vivo desde mis redes sociales y las cuentas oficiales de 
@Presidencia_Ec
 y 
@ComunicacionEc
.

#GobiernoDelEncuentro
#JuntosLoLogramosCitar Tweet
Presidencia ECU
@Presidencia_Ec
Organización gubernamental de Ecuador
 · 26 may.
AHORA | Transmisión en vivo de la Ceremonia Ancestral de entrega de Bastón de Mando. 

También puedes conectarte a la cuenta oficial en YouTube del presidente @LassoGuillermo  https://youtu.be/S9oCxcjvg5c 

#GobiernoDelEncuentro
#JuntosLoLogramos",108,293,"1,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-26T15:37:41.000Z,"FAMILIA.

#JuntosLoLogramos",703,"1,4 mil","16,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-26T13:40:49.000Z,"Nuestro proyecto de Ley Orgánica de Libre Expresión y Comunicación garantiza un ECUADOR LIBRE.

Estamos comprometidos con el derecho a la libertad de todos los ecuatorianos. 

#GobiernoDelEncuentro
#JuntosLoLogramos",268,599,2 mil
Guillermo Lasso,@LassoGuillermo,2021-05-26T04:32:57.000Z,"Hoy envié a la Asamblea Nacional el proyecto de Ley Orgánica de Libre Expresión y Comunicación. Estamos comprometidos con un ECUADOR LIBRE, donde el derecho a la libertad de expresión esté plenamente garantizado. 

#GobiernoDelEncuentro
#JuntosLoLogramos",498,1 mil,5 mil
Presidencia ECU,@Presidencia_Ec,2021-05-25T21:48:41.000Z,"El presidente 
@LassoGuillermo
, durante su primer día de actividades como Jefe de Estado, dedicó un momento para saludar, desde el balcón presidencial, a los ciudadanos ubicados en la Plaza de la Independencia. #GobiernoDelEncuentroComunicación Ecuador",167,558,"4,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-25T20:04:59.000Z,"Hoy tuve la oportunidad de dialogar con 
@leopoldolopez
 y 
@liliantintori
, grandes líderes venezolanos comprometidos con la libertad y la democracia en la región. Agradezco su visita, Ecuador siempre tendrá sus puertas abiertas. 

#GobiernoDelEncuentro
#JuntosLoLogramos",580,878,"4,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-25T16:16:52.000Z,"Fue un honor recibir a representantes de 
@USembassyEC
 y 
@USAmbUN
, quien lidera la comitiva de EEUU. Estamos comprometidos con fortalecer las relaciones entre nuestros países. La cooperación es el camino para lograr bienestar en Ecuador.

#GobiernoDelEncuentro 
#JuntosLoLogramos",207,638,"2,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-25T03:11:40.000Z,"Esta noche mantuvimos la primera reunión del Consejo de Seguridad, donde se estableció la importancia de la cooperación integral para garantizar un Ecuador seguro. 

Hice un compromiso y hoy comienzo a cumplirlo: trabajar por la seguridad de los ciudadanos. 

#JuntosLoLogramos",368,"1,1 mil","5,8 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T19:11:36.000Z,"Tengo el corazón lleno de gratitud, cariño y compromiso. El Palacio de Carondelet siempre tendrá sus puertas abiertas para todos los ecuatorianos.

Lograremos el Ecuador que ustedes aspiran: un país con oportunidades y bienestar. 

#GobiernoDelEncuentro
#JuntosLoLogramos",210,966,"5,3 mil"
Comunicación Ecuador,@ComunicacionEc,2021-05-24T18:39:24.000Z,"AHORA | El presidente 
@LassoGuillermo
 ingresa al Palacio de Carondelet, donde saluda a las familias que se encuentran en la Plaza de la Independencia. Dirige unas palabras y de forma emotiva, llama al encuentro entre todos los ecuatorianos. #GobiernoDelEncuentro
#JuntosLoLogramosArribo del presidente Guillermo Lasso al Palacio de Carondelet.
facebook.com",48,292,"1,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T17:38:49.000Z,"Gracias al pueblo ecuatoriano por confiar en mí. Pueblo maravilloso, pueblo trabajador. El mejor pueblo al que un presidente puede aspirar.

#GobiernoDelEncuentro
#JuntosLoLogramos",784,"2,6 mil","16,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:51:49.000Z,"Aspiro a que mis acciones hablen tan elocuentemente como las palabras del presidente Roldós. Que mis decisiones reflejen sus pensamientos, que mi conciencia responda a sus ideales, y que así despierte en los jóvenes el mismo fervor cívico que en mí brotó hace 40 años.","1,1 mil","3,8 mil","23,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:37:51.000Z,"Hago un llamado a la UNIDAD NACIONAL, que debe ser atendido cívicamente porque nuestra lealtad es, ante todo, con el país. 

La democracia no es la ausencia de diferencias, es la búsqueda del tratamiento pacífico. Así debe ser el Ecuador del Encuentro.

#JuntosLoLogramos",227,"1,3 mil","5,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:29:53.000Z,"El principio es “no dejar a nadie atrás”, lo que pone a la inclusión de los ciudadanos como la prioridad en la gestión del #GobiernoDelEncuentro.

#JuntosLoLogramos ",77,584,"2,6 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:12:31.000Z,"Las causas del #GobiernoDelEncuentro serán las causas de la gente. Que la voluntad del Gobierno, será la voluntad del pueblo, movido por los mismos objetivos y las mismas esperanzas. 

Nuestra intención es maximizar la capacidad para servir al Ecuador.

#JuntosLoLogramos ",83,538,"2,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:09:01.000Z,"Que esta democracia que hoy recobramos sea para siempre un torrente donde la gente aglutine sus ideales, cada uno más admirable y valioso que otro. Hoy inicia el camino hacia el Ecuador del Encuentro. 

#GobiernoDelEncuentro
#JuntosLoLogramos",156,"1,1 mil","4,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T15:59:06.000Z,"Empieza el cambio, bienvenidos al Ecuador del Encuentro. 

¡GRACIAS ECUADOR! 

#GobiernoDelEncuentro
#JuntosLoLogramos","1,1 mil","5,7 mil","26,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T15:43:40.000Z,"“Este 24 de mayo de 2021, empezamos a construir la cultura del ENCUENTRO y de la RECONCILIACIÓN en el Ecuador.
Es momento de trabajar juntos, por los graves problemas, que hoy enfrenta nuestra nación.” - 
@GuadalupeLlori
, Presidenta de la Asamblea Nacional. 

#JuntosLoLogramos",125,620,"3,6 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-21T17:09:04.000Z,"El Secretario Jurídico de la Presidencia será 
@fabianpozo
, un excelente abogado e investigador, comprometido con el futuro del Ecuador. Hoy se une al Gobierno del Encuentro para trabajar con la gente en proyectos de ley y reformas normativas que logren bienestar y prosperidad. ",271,514,"2,9 mil"
