country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
"Greece,GRC,2020-12-28,447.0,447.0,0.0,0.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2020-12-29,1077.0,1077.0,630.0,630.0,0.01,0.01,60.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2020-12-30,1722.0,1722.0,645.0,638.0,0.02,0.02,61.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2020-12-31,2339.0,2339.0,617.0,631.0,0.02,0.02,61.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-01,2603.0,2603.0,264.0,539.0,0.02,0.02,52.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-02,3149.0,3149.0,546.0,540.0,0.03,0.03,52.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-03,3869.0,3869.0,720.0,570.0,0.04,0.04,55.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-04,10327.0,10327.0,6458.0,1411.0,0.1,0.1,135.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-05,16631.0,16631.0,6304.0,2222.0,0.16,0.16,213.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-06,20616.0,20616.0,3985.0,2699.0,0.2,0.2,259.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-07,26445.0,26445.0,5829.0,3444.0,0.25,0.25,330.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-08,35272.0,35272.0,8827.0,4667.0,0.34,0.34,448.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-09,40427.0,40427.0,5155.0,5325.0,0.39,0.39,511.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-10,44645.0,44645.0,4218.0,5825.0,0.43,0.43,559.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-11,50045.0,50045.0,5400.0,5674.0,0.48,0.48,544.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-12,56475.0,56475.0,6430.0,5692.0,0.54,0.54,546.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-13,64932.0,64932.0,8457.0,6331.0,0.62,0.62,607.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-14,70960.0,70960.0,6028.0,6359.0,0.68,0.68,610.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-15,75412.0,75412.0,4452.0,5734.0,0.72,0.72,550.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-16,80391.0,80389.0,2.0,4979.0,5709.0,0.77,0.77,0.0,548.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-17,,5500.0,528.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-18,85898.0,85475.0,423.0,5122.0,0.82,0.82,0.0,491.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-19,94454.0,93382.0,1072.0,8556.0,5426.0,0.91,0.9,0.01,521.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-20,109831.0,108167.0,1664.0,15377.0,6414.0,1.05,1.04,0.02,615.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-21,125928.0,123667.0,2261.0,16097.0,7853.0,1.21,1.19,0.02,753.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-22,143877.0,141298.0,2579.0,17949.0,9781.0,1.38,1.36,0.02,938.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-23,160101.0,156966.0,3135.0,16224.0,11387.0,1.54,1.51,0.03,1092.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-24,,12412.0,1191.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
"Greece,GRC,2021-01-25,179951.0,171890.0,8061.0,13436.0,1.73,1.65,0.08,1289.0,""Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/"
