,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
0,Tom Kertscher,"“The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.”",Facebook posts,"August 3, 2021",barely-true,FAKE,0
1,Amy Sherman,Florida Agriculture Commissioner Nikki Fried “suspended gun rights — no due process — just because she says these people were merely ‘involved’ in January 6.”,Facebook posts,"August 3, 2021",barely-true,FAKE,0
2,Louis Jacobson,"""The CDC has the power to extend the eviction moratorium.”",Nancy Pelosi,"August 3, 2021",barely-true,FAKE,0
3,Paul Specht,"Says he worked to pass the 2018 farm bill “that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.”",Mark Walker,"August 3, 2021",half-true,FAKE,0
4,Warren Fiske,“Under Terry McAuliffe (there was a) record investment in education.”,Terry McAuliffe,"August 2, 2021",barely-true,FAKE,0
5,Monique Curet,"“Thanks to (Israel's) sacrifice, we now know that natural immunity is far superior with 1% experiencing re-infection while 40% of new cases were previously vx'd.""",Facebook posts,"August 2, 2021",barely-true,FAKE,0
6,Jason Asenso,"Says Novak Djokovic said of Simone Biles: “Pressure is a privilege, my friend. ...If you are aiming to be at the top of the game you better start learning how to deal with pressure…”",Facebook posts,"August 2, 2021",barely-true,FAKE,0
7,Tom Kertscher,"""They didn't allow"" Simone Biles ""to take her ADHD medication.""",Facebook posts,"August 2, 2021",false,FAKE,0
8,Ciara O'Rourke,“Type-2 diabetes gummies nets the biggest deal in ‘Shark Tank’ history!”,Bloggers,"August 2, 2021",false,FAKE,0
9,Ciara O'Rourke,Photos show Lloyd Austin without a face shield after he landed in the Philippines.,Marco Rubio,"August 2, 2021",barely-true,FAKE,0
10,Gabrielle Settles,Says the white man who wanted Rosa Parks’ seat on the bus was suffering from ADHD and anxiety.,Facebook posts,"August 2, 2021",false,FAKE,0
11,Warren Fiske,"When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",Joe Biden,"July 30, 2021",mostly-true,FAKE,0
12,Kiannah Sepeda-Miller,“You can't actually use ARPA (American Rescue Plan Act) funds” to pay down state unemployment insurance fund deficits.,JB Pritzker,"July 30, 2021",false,FAKE,0
13,Amy Sherman,Mail-in voting requires no signature verification.,Facebook posts,"July 30, 2021",false,FAKE,0
14,Tom Kertscher,“A known antifa member” dressed as a Donald Trump supporter “and caused the Capitol riot” on Jan. 6.,Viral image,"July 30, 2021",barely-true,FAKE,0
15,Victoria Knight,"CDC ""will revoke the emergency use authorization"" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. ""Translation: They've been adding flu cases to Covid cases when using that test.”",Facebook posts,"July 30, 2021",false,FAKE,0
16,Ciara O'Rourke,“More than 40 military tribunals testified.”,Facebook posts,"July 30, 2021",false,FAKE,0
